Lua Diagnostics | Errors: 0 | Warnings: 1054 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 94 | Total: 1148 | Time: 2026-06-05 08:55:01 | Dir: /workspace/scripts
---
WARN  | ForgeState.lua:195:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:387:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:448:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:564:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:683:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:727:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:806:20 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | ForgeState.lua:176:5 | function InitHammerPhase may be nil [need-check-nil]
WARN  | ForgeState.lua:185:5 | function StopQuenchSound may be nil [need-check-nil]
WARN  | ForgeState.lua:395:9 | function UpdateHammer may be nil [need-check-nil]
WARN  | ForgeState.lua:397:9 | function UpdateQuench may be nil [need-check-nil]
WARN  | ForgeState.lua:399:9 | function UpdateGrind may be nil [need-check-nil]
WARN  | ForgeState.lua:522:9 | function FinishQuench may be nil [need-check-nil]
WARN  | ForgeState.lua:529:9 | function FinishQuench may be nil [need-check-nil]
WARN  | ForgeState.lua:539:5 | function StopQuenchSound may be nil [need-check-nil]
WARN  | ForgeState.lua:587:9 | function FinishGrind may be nil [need-check-nil]
WARN  | ForgeState.lua:21:7 | Cannot assign `nil` to `{ forgeScore = integer, hammerScore = integer, quenchScore = integer, ... }`. [assign-type-mismatch]
WARN  | ForgeState.lua:243:5 | Cannot assign `nil` to `{ forgeScore = integer, hammerScore = integer, quenchScore = integer, ... }`. [assign-type-mismatch]
WARN  | ForgeState.lua:257:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:274:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:438:30 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:439:30 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:459:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:468:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:475:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:477:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:517:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:576:29 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:577:33 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:677:5 | Cannot assign `nil` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:682:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:753:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:754:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:756:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:757:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:760:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:761:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:766:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:805:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:826:17 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | MaterialState.lua:125:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
